"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue Spice is a coffee shop located in the city centre.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a pub that serves english food. It is located near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.
"name[Blue Spice], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family-friendly pub near Rainbow Vegetarian Café in the riverside area.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese restaurant located in the city centre near Rainbow Vegetarian Café. It is not family friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese restaurant in the city centre near Rainbow Vegetarian Café. It is family friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is a chinese restaurant located in the riverside area near Rainbow Vegetarian Café. It is not family friendly.
"name[Blue Spice], eatType[restaurant], food[Chinese], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly chinese restaurant located near Rainbow Vegetarian Café in the riverside area.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is an english restaurant located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family-friendly english restaurant located in the city centre near Rainbow Vegetarian Café.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is an english restaurant located in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly english restaurant located near Rainbow Vegetarian Café in the riverside area.
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	Clowns is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a coffee shop near Crowne Plaza Hotel with a customer rating of 5 out of 5.
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	Near The Sorrento is a coffee shop called Clowns.
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Clowns is a pub near All Bar One. It has a customer rating of 3 out of 5.
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a pub near Crowne Plaza Hotel. It has a customer rating of 5 out of 5.
"name[Clowns], eatType[pub], near[The Sorrento]"	Near The Sorrento is a pub called Clowns.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	Cocum is a coffee shop near Burger King with a high customer rating.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	Cocum is a coffee shop near Café Sicilia with a high customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	Cocum is a coffee shop near Café Sicilia with a low customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Cocum is a coffee shop near Express by Holiday Inn with a low customer rating.
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	Near The Rice Boat is a coffee shop called Cocum.
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	Near The Sorrento is a coffee shop called Cocum.
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	Cocum is a pub near Burger King with a high customer rating.
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	Cocum is a pub near Café Sicilia with a high customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	Cocum is a pub near Café Sicilia. It has a low customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Cocum is a pub near Express by Holiday Inn. It has a low customer rating.
"name[Cocum], eatType[pub], near[The Rice Boat]"	Near The Rice Boat is a pub called Cocum.
"name[Cocum], eatType[pub], near[The Sorrento]"	Near The Sorrento is a pub called Cocum.
"name[Cotto], eatType[coffee shop], near[The Bakers]"	Near The Bakers is a coffee shop called Cotto.
"name[Cotto], eatType[pub], near[The Bakers]"	Near The Bakers is a pub called Cotto.
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	Near The Bakers is a coffee shop called Giraffe.
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	Near The Rice Boat is a coffee shop called Giraffe.
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly pub near Rainbow Vegetarian Café in the riverside area.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a pub that serves fast food. It is located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly pub that serves fast food. It is located in the city centre near Rainbow Vegetarian Café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food pub in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub that serves fast food. It is located in the riverside area near Rainbow Vegetarian Café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly pub that serves fast food. It is located in the riverside area near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a pub that serves french food. It is located in the city centre near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly pub that serves french food. It is located in the city centre near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a pub that serves french food. It is located near Raja Indian Cuisine in the riverside area. It is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly pub that serves french food. It is located in the riverside area near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], near[The Bakers]"	Near The Bakers is a pub called Giraffe.
"name[Giraffe], eatType[pub], near[The Rice Boat]"	Near The Rice Boat is a pub called Giraffe.
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly english restaurant located near Rainbow Vegetarian Café in the riverside area.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is located in the city centre near Rainbow Vegetarian Café. It is not family-friendly and serves fast food.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly fast food restaurant located in the city centre near Rainbow Vegetarian Café.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant located in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant in the riverside area near Rainbow Vegetarian Café. It is family friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a fast food restaurant in the riverside area near Raja Indian Cuisine. It is family friendly.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is located in the city centre near Raja Indian Cuisine. It is not family-friendly and serves french food.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly french restaurant located in the city centre near Raja Indian Cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french restaurant located in the riverside area near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly french restaurant located near Raja Indian Cuisine in the riverside area.
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Green Man is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	Green Man is a coffee shop near All Bar One. It has a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Green Man is a pub near All Bar One. It has a customer rating of 1 out of 5.
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Green Man is a pub near All Bar One. It has a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family-friendly pub near Express by Holiday Inn in the riverside area.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green Man is a family-friendly pub near Raja Indian Cuisine in the riverside area.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green Man is a pub that serves japanese food. It is located in the city centre near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family-friendly pub that serves japanese food. It is located in the city centre near Express by Holiday Inn.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green Man is a pub that serves japanese food. It is located near Express by Holiday Inn in the riverside area. It is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family-friendly pub that serves japanese food. It is located near Express by Holiday Inn in the riverside area.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family-friendly italian restaurant located near Express by Holiday Inn in the riverside area.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green Man is a family-friendly italian restaurant located near Raja Indian Cuisine in the riverside area.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green Man is a family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green Man is a japanese restaurant located in the riverside area near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family friendly japanese restaurant located near Express by Holiday Inn in the riverside area.
"name[Loch Fyne], eatType[coffee shop], area[riverside]"	Loch Fyne is a coffee shop in the riverside area.
"name[Loch Fyne], eatType[pub], area[riverside]"	There is a pub in the riverside area called Loch Fyne.
"name[Strada], eatType[coffee shop], area[city centre]"	Strada is a coffee shop located in the city centre.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Strada is a coffee shop near All Bar One. It has a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	Strada is a coffee shop near Rainbow Vegetarian Café. It has a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Strada is a coffee shop near Express by Holiday Inn with a low customer rating.
"name[Strada], eatType[pub], area[city centre]"	In the city centre is a pub called Strada.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Strada is a pub near All Bar One. It has a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	Strada is a pub near Rainbow Vegetarian Café. It has a customer rating of 1 out of 5.
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Strada is a pub near Express by Holiday Inn. It has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a coffee shop near Avalon. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a coffee shop near Avalon. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is family friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The Cricketers is a coffee shop near Café Sicilia. It is not family-friendly and has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family-friendly and has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a coffee shop near Café Sicilia. It is family friendly and has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a coffee shop near Café Sicilia. It is child friendly and has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The Cricketers is a coffee shop near Express by Holiday Inn. It is child friendly and has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The Cricketers is a coffee shop near Express by Holiday Inn. It is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]"	The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]"	The Cricketers is a family friendly coffee shop located near Ranch. It has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a child friendly restaurant near Avalon. It has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a kid friendly restaurant with a customer rating of 3 out of 5. It is located near Avalon.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a kid friendly restaurant with a customer rating of 3 out of 5. It is located near Crowne Plaza Hotel.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a restaurant near the Crowne Plaza Hotel. It is not family-friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a restaurant near Crowne Plaza Hotel. It is family friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The Cricketers is a restaurant near Café Sicilia. It is not family-friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a restaurant near Crowne Plaza Hotel. It is not family-friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a restaurant near Café Sicilia. It is family friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a child friendly restaurant near Café Sicilia. It has a high customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The Cricketers is a child friendly restaurant near Express by Holiday Inn. It has a high customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The Cricketers is a restaurant near Express by Holiday Inn. It is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]"	The Cricketers is a restaurant near Ranch. It is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]"	The Cricketers is a family-friendly restaurant near Ranch. It has a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant located in the city centre near All Bar One. It has a high customer rating and is not kid friendly and has a price range of £20-25.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant in the city centre near All Bar One. It has a high customer rating and a price range of £20-25 and is kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant located near All Bar One in the riverside area. It has a high customer rating and a price range of £20-25 and is not kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant with a high customer rating. It is located in the riverside area near All Bar One. It is kid friendly and has a price range of £20-25.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a cheap chinese restaurant in the city centre near All Bar One. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a cheap chinese restaurant in the city centre near All Bar One. It is family friendly and has a customer rating of 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a cheap chinese restaurant in the riverside area near All Bar One. It has a customer rating of 5 out of 5 and is not family-friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant with a 5 out of 5 rating. It is located near All Bar One in the riverside area. It is family friendly and has a cheap price range.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a cheap chinese restaurant in the city centre near All Bar One. It is not family-friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a family friendly chinese restaurant in the city centre near All Bar One. It has an average customer rating and a cheap price range.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a cheap chinese restaurant near All Bar One in the riverside area. It has an average customer rating and is not family friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a cheap chinese restaurant near All Bar One in the riverside area. It is family friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the high price range. It is located in the city centre near All Bar One. Its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the high price range. It is located in the city centre near All Bar One. Its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant located near All Bar One in the riverside area. It is not child friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant located near All Bar One in the riverside area. It is child friendly and has a high price range and a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant located in the city centre near All Bar One. It is not child friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant located in the city centre near All Bar One. It is child friendly and has an average customer rating and a high price range.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant located near All Bar One in the riverside area. It is not child friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant near All Bar One in the riverside area. It is child friendly and has an average customer rating and a high price range.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant in the city centre near All Bar One. It has a low customer rating and is not family-friendly and has a price range of less than £20.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant with a price range of less than £20. It is located in the city centre near All Bar One. It is family-friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant with a price range less than £20. It is located in the riverside. It is near All Bar One. It is not family friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant with a price range less than £20. It is located in the riverside. It is near All Bar One. It is family friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant located in the city centre near All Bar One. It is not kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	"The Cricketers is a chinese restaurant with a moderate price range. It is located in the city centre, near All Bar One. It is kid friendly and has a customer rating of 1 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant located near All Bar One in the riverside area. It is not kid friendly and has a customer rating of 1 out of 5 and is moderately priced.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant with a moderate price range. It is located in the riverside area near All Bar One. It is kid friendly and has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant located in the city centre near All Bar One. It is moderately priced and has a customer rating of 3 out of 5. It is not kid friendly.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers is a chinese restaurant with a moderate price range. It is located in the city centre near All Bar One. It is kid friendly and has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers is a chinese restaurant with a moderate price range. It is located in the riverside area near All Bar One. It is not kid friendly and has a customer rating of 3 out of 5.
