"name[Blue Spice], eatType[coffee shop], area[city centre]"	Blue Spice is a coffee shop located in the city centre.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is located in the city centre near Rainbow Vegetarian Café. It serves english food and is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family-friendly english restaurant located in the city centre near the Rainbow Vegetarian Café.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Blue Spice is an english restaurant near Rainbow Vegetarian Café in the riverside area. It is not family-friendly.
"name[Blue Spice], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Blue Spice is a family friendly english restaurant located near Rainbow Vegetarian Café in the riverside.
"name[Clowns], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	"Near All Bar One, there is a 3 out of 5 rated coffee shop called Clowns."
"name[Clowns], eatType[coffee shop], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a coffee shop near Crowne Plaza Hotel with a 5 out of 5 rating.
"name[Clowns], eatType[coffee shop], near[The Sorrento]"	There is a coffee shop called Clowns near The Sorrento.
"name[Clowns], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Clowns is a pub near All Bar One with a customer rating of 3 out of 5.
"name[Clowns], eatType[pub], customer rating[5 out of 5], near[Crowne Plaza Hotel]"	Clowns is a pub near the Crowne Plaza Hotel with a customer rating of 5 out of 5.
"name[Clowns], eatType[pub], near[The Sorrento]"	Clowns is located near The Sorrento.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Burger King]"	Cocum is a highly rated coffee shop near Burger King.
"name[Cocum], eatType[coffee shop], customer rating[high], near[Café Sicilia]"	Cocum is a highly rated coffee shop near Café Sicilia.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Café Sicilia]"	Cocum is a coffee shop near Café Sicilia and has a low customer rating.
"name[Cocum], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Cocum is a coffee shop near Express by Holiday Inn and has a low customer rating.
"name[Cocum], eatType[coffee shop], near[The Rice Boat]"	There is a coffee shop called Cocum near The Rice Boat.
"name[Cocum], eatType[coffee shop], near[The Sorrento]"	There is a coffee shop called Cocum near The Sorrento.
"name[Cocum], eatType[pub], customer rating[high], near[Burger King]"	Cocum is a pub near Burger King with a high customer rating.
"name[Cocum], eatType[pub], customer rating[high], near[Café Sicilia]"	Cocum is a pub near Café Sicilia with a high customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Café Sicilia]"	Cocum is a pub near the Café Sicilia with a low customer rating.
"name[Cocum], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Cocum is a pub near the Express by Holiday Inn with a low customer rating.
"name[Cocum], eatType[pub], near[The Rice Boat]"	Cocum is located near The Rice Boat.
"name[Cocum], eatType[pub], near[The Sorrento]"	Cocum is located near The Sorrento.
"name[Cotto], eatType[coffee shop], near[The Bakers]"	There is a coffee shop called Cotto near The Bakers.
"name[Cotto], eatType[pub], near[The Bakers]"	Cotto is located near The Bakers.
"name[Giraffe], eatType[coffee shop], near[The Bakers]"	There is a coffee shop called Giraffe near The Bakers.
"name[Giraffe], eatType[coffee shop], near[The Rice Boat]"	There is a coffee shop called Giraffe near The Rice Boat.
"name[Giraffe], eatType[pub], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub near Rainbow Vegetarian Café in the riverside area.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a pub located in the city centre near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly fast food pub located in the city centre near Rainbow Vegetarian Café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food pub in the riverside area near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly pub in the riverside area near Rainbow Vegetarian Café.
"name[Giraffe], eatType[pub], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly pub in the riverside area near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french pub located in the city centre near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[pub], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly pub located in the city centre near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is near Raja Indian Cuisine in the riverside area. It is not family-friendly and serves french food.
"name[Giraffe], eatType[pub], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly pub in the riverside area near Raja Indian Cuisine.
"name[Giraffe], eatType[pub], near[The Bakers]"	Giraffe is located near The Bakers.
"name[Giraffe], eatType[pub], near[The Rice Boat]"	Giraffe is located near The Rice Boat.
"name[Giraffe], eatType[restaurant], food[English], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly english restaurant located near Rainbow Vegetarian Café in the riverside.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a family-friendly fast food restaurant located near Rainbow Vegetarian Café in the city centre.
"name[Giraffe], eatType[restaurant], food[Fast food], area[city centre], familyFriendly[yes], near[Rainbow Vegetarian Café]"	"Giraffe is a family-friendly fast food restaurant located in the city centre near Rainbow Vegetarian Café in city is Giraffe is a family-friendly fast food restaurant in the city centre near Rainbow Vegetarian Café in city is Giraffe is a family-friendly, fast food restaurant located in the city centre near Rainbow Vegetarian Café."
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[no], near[Rainbow Vegetarian Café]"	Giraffe is a fast food restaurant in riverside near Rainbow Vegetarian Café. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Rainbow Vegetarian Café]"	Giraffe is a family friendly fast food restaurant located near Rainbow Vegetarian Café in the riverside area.
"name[Giraffe], eatType[restaurant], food[Fast food], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly fast food restaurant located near Raja Indian Cuisine in the riverside area.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is a french restaurant in the city centre near Raja Indian Cuisine. It is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[city centre], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family-friendly french restaurant located in the city centre near Raja Indian Cuisine.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[no], near[Raja Indian Cuisine]"	Giraffe is near Raja Indian Cuisine in the riverside area. It serves french food and is not family-friendly.
"name[Giraffe], eatType[restaurant], food[French], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Giraffe is a family friendly french restaurant located near Raja Indian Cuisine in the riverside area.
"name[Green Man], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Green Man is a coffee shop near All Bar One with a customer rating of 1 out of 5.
"name[Green Man], eatType[coffee shop], customer rating[3 out of 5], near[All Bar One]"	"Near All Bar One, there is a 3 out of 5 rated coffee shop called Green Man."
"name[Green Man], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Green Man is a pub with a customer rating of 1 out of 5 near All Bar One.
"name[Green Man], eatType[pub], customer rating[3 out of 5], near[All Bar One]"	Green Man is a pub near All Bar One with a customer rating of 3 out of 5.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family-friendly pub located near Express by Holiday Inn.
"name[Green Man], eatType[pub], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green Man is a family-friendly pub located near Raja Indian Cuisine.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green Man is a pub in the city centre near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family-friendly pub located in the city centre near Express by Holiday Inn.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green Man is a pub near Express by Holiday Inn in the riverside area. It is not family-friendly.
"name[Green Man], eatType[pub], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family friendly pub in the riverside area near Express by Holiday Inn.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family friendly italian restaurant near Express by Holiday Inn in the riverside area.
"name[Green Man], eatType[restaurant], food[Italian], area[riverside], familyFriendly[yes], near[Raja Indian Cuisine]"	Green Man is a family friendly italian restaurant near Raja Indian Cuisine in the riverside area.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[no], near[Express by Holiday Inn]"	Green Man is a family-friendly japanese restaurant located near Express by Holiday Inn in the city centre.
"name[Green Man], eatType[restaurant], food[Japanese], area[city centre], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family-friendly japanese restaurant located in the city centre near Express by Holiday Inn.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[no], near[Express by Holiday Inn]"	Green Man is a japanese restaurant in riverside near Express by Holiday Inn. It is not family-friendly.
"name[Green Man], eatType[restaurant], food[Japanese], area[riverside], familyFriendly[yes], near[Express by Holiday Inn]"	Green Man is a family friendly japanese restaurant near Express by Holiday Inn in the riverside area.
"name[Loch Fyne], eatType[coffee shop], area[riverside]"	Loch Fyne is located in the riverside area.
"name[Loch Fyne], eatType[pub], area[riverside]"	Loch Fyne is located in the riverside area.
"name[Strada], eatType[coffee shop], area[city centre]"	Strada is a coffee shop located in the city centre.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[All Bar One]"	Strada is a coffee shop near All Bar One with a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	Strada is a coffee shop near Rainbow Vegetarian Café with a customer rating of 1 out of 5.
"name[Strada], eatType[coffee shop], customer rating[low], near[Express by Holiday Inn]"	Strada is a coffee shop near Express by Holiday Inn and has a low customer rating.
"name[Strada], eatType[pub], area[city centre]"	Strada is located in the city centre area.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[All Bar One]"	Strada is a pub with a customer rating of 1 out of 5 near All Bar One.
"name[Strada], eatType[pub], customer rating[1 out of 5], near[Rainbow Vegetarian Café]"	Strada is a pub with a customer rating of 1 out of 5 near Rainbow Vegetarian Café.
"name[Strada], eatType[pub], customer rating[low], near[Express by Holiday Inn]"	Strada is a pub near the Express by Holiday Inn with a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a kid friendly coffee shop near Avalon. It has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a children friendly coffee shop near Avalon. It has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a children friendly coffee shop near Crowne Plaza Hotel. It has a customer rating of 3 out of 5.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a coffee shop near Crowne Plaza Hotel. It has a 5 out of 5 rating and is not family-friendly.
"name[The Cricketers], eatType[coffee shop], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a family friendly coffee shop near Crowne Plaza Hotel with a 5 out of 5 rating.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The Cricketers is a coffee shop near Café Sicilia. It is not family friendly and has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a coffee shop near Crowne Plaza Hotel. It is not family friendly and has an average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a family friendly coffee shop near Café Sicilia with average customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a kid friendly coffee shop near Café Sicilia. It has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The Cricketers is a kid friendly coffee shop near Express by Holiday Inn. It has a high customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The Cricketers is a coffee shop near Express by Holiday Inn. It is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[no], near[Ranch]"	The Cricketers is a coffee shop near Ranch. It is not family-friendly and has a low customer rating.
"name[The Cricketers], eatType[coffee shop], customer rating[low], familyFriendly[yes], near[Ranch]"	The Cricketers is a family friendly coffee shop near Ranch. It has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[1 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a kid friendly restaurant near Avalon. It has a customer rating of 1 out of 5.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Avalon]"	The Cricketers is a kid friendly restaurant with a customer rating of 3 out of 5. It is near Avalon.
"name[The Cricketers], eatType[restaurant], customer rating[3 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a kid friendly restaurant with a customer rating of 3 out of 5. It is near Crowne Plaza Hotel.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a restaurant near Crowne Plaza Hotel. It has a 5 out of 5 rating and is not family-friendly.
"name[The Cricketers], eatType[restaurant], customer rating[5 out of 5], familyFriendly[yes], near[Crowne Plaza Hotel]"	The Cricketers is a family friendly restaurant near Crowne Plaza Hotel with a customer rating of 5 out of 5 in city is The Cricketers is a family friendly restaurant near Crowne Plaza Hotel. It has a 5 out of 5 rating.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Café Sicilia]"	The Cricketers is a restaurant near Café Sicilia. It is not family friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[no], near[Crowne Plaza Hotel]"	The Cricketers is a restaurant near Crowne Plaza Hotel. It is not family friendly and has an average customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[average], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a family friendly restaurant near Café Sicilia with an average customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Café Sicilia]"	The Cricketers is a kid friendly restaurant near Café Sicilia. It has a high customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[high], familyFriendly[yes], near[Express by Holiday Inn]"	The Cricketers is a kid friendly restaurant near Express by Holiday Inn. It has a high customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Express by Holiday Inn]"	The Cricketers is a restaurant near Express by Holiday Inn. It is not family friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[no], near[Ranch]"	The Cricketers is a restaurant near Ranch. It is not family friendly and has a low customer rating.
"name[The Cricketers], eatType[restaurant], customer rating[low], familyFriendly[yes], near[Ranch]"	The Cricketers is a family friendly restaurant near Ranch that has a low customer rating.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre near the All Bar One. Its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[city centre], familyFriendly[yes], near[All Bar One]"	"The Cricketers provides chinese food in the £20-25 price range. It is located in the city centre, near All Bar One. Its customer rating is high."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the high price range. It is located in the riverside. It is near the All Bar One. Its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[£20-25], customer rating[high], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the £20-25 price range. It is located in the riverside. It is near All Bar One. Its customer rating is high.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	"The Cricketers provides chinese food in the cheap price range. It is located in the city centre, near All Bar One. Its customer rating is 5 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	"The Cricketers provides chinese food in the cheap price range. It is located in the city centre, near All Bar One. Its customer rating is 5 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[5 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is 5 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	"The Cricketers provides chinese food in the cheap price range. It is located in the city centre, near the All Bar One. Its customer rating is average."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	"The Cricketers provides chinese food in the cheap price range. It is located in the city centre, near All Bar One. Its customer rating is average."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the cheap price range. It is located in the riverside. It is near All Bar One. Its customer rating is average in city is.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[cheap], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the cheap price range. It is located in riverside. It is near All Bar One. Its customer rating is average.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	"The Cricketers provides chinese food in the high price range. It is located in the city centre, near All Bar One. Its customer rating is 1 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	"The Cricketers provides chinese food in the high price range. It is located in the city centre, near All Bar One. Its customer rating is 1 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the high price range. It is located in the riverside. It is near All Bar One. Its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the high price range. It is located in the riverside area near All Bar One. Its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[no], near[All Bar One]"	"The Cricketers provides chinese food in the high price range. It is located in the city centre, near All Bar One. Its customer rating is average."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[city centre], familyFriendly[yes], near[All Bar One]"	"The Cricketers provides chinese food in the high price range. It is located in the city centre, near the All Bar One. Its customer rating is average."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the high price range. It is located in the riverside. It is near All Bar One. Its customer rating is average.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[high], customer rating[average], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the high price range. It is located in the riverside area near All Bar One. Its customer rating is average.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the less than £20 price range. It is located in the city centre. It is near All Bar One. Its customer rating is low.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[city centre], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the less than £20 price range. It is located in the city centre. It is near All Bar One. Its customer rating is low in city is.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the less than £20 price range. It is located in the riverside area. It is near All Bar One. Its customer rating is low.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[less than £20], customer rating[low], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the less than £20 price range. It is located in the riverside. It is near All Bar One. Its customer rating is low.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	"The Cricketers provides chinese food in the moderate price range. It is located in the city centre, near All Bar One. Its customer rating is 1 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	"The Cricketers provides chinese food in the moderate price range. It is located in the city centre, near All Bar One. Its customer rating is 1 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the moderate price range. It is located in the riverside. It is near All Bar One. Its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[1 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the moderate price range. It is located in the riverside area near All Bar One. Its customer rating is 1 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[no], near[All Bar One]"	"The Cricketers provides chinese food in the moderate price range. It is located in the city centre, near All Bar One. Its customer rating is 3 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[city centre], familyFriendly[yes], near[All Bar One]"	"The Cricketers provides chinese food in the moderate price range. It is located in the city centre, near All Bar One. Its customer rating is 3 out of 5."
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the moderate price range. It is located in the riverside. It is near All Bar One. Its customer rating is 3 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[moderate], customer rating[3 out of 5], area[riverside], familyFriendly[yes], near[All Bar One]"	The Cricketers provides chinese food in the moderate price range. It is located in the riverside. It is near the All Bar One. Its customer rating is 3 out of 5.
"name[The Cricketers], eatType[restaurant], food[Chinese], priceRange[more than £30], customer rating[high], area[city centre], familyFriendly[no], near[All Bar One]"	The Cricketers provides chinese food in the more than £30 price range. It is located in the city centre near the All Bar One. Its customer rating is high.
